time,mos,flwid,upstream_bytes,downstream_bytes,protocol,src_port,dst_port,application_type,upstream_packets,downstream_packets,local_ping,server_ping
2022-09-09 16:07:06,"4.32705 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.582,16.400
2022-09-09 16:07:35,"4.36809 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.764,16.500
2022-09-09 16:07:34,"4.48094 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.693,16.700
2022-09-09 16:07:33,"4.48094 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.677,17.100
2022-09-09 16:07:32,"4.48094 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.838,16.900
2022-09-09 16:07:36,"4.36809 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.754,77.100
2022-09-09 16:07:31,"4.48094 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.589,16.600
2022-09-09 16:07:28,"4.48094 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.662,81.700
2022-09-09 16:07:30,"4.48094 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.733,16.600
2022-09-09 16:07:29,"4.48094 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.661,62.000
2022-09-09 16:07:27,"4.48094 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.671,16.500
2022-09-09 16:07:26,"4.48094 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.769,65.300
2022-09-09 16:07:24,"4.35748 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.689,16.500
2022-09-09 16:07:23,"4.35748 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.642,87.800
2022-09-09 16:07:22,"4.35748 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.693,16.700
2022-09-09 16:07:21,"4.35748 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.646,20.100
2022-09-09 16:07:20,"4.35748 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.691,87.200
2022-09-09 16:07:19,"4.35748 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.552,16.600
2022-09-09 16:07:18,"4.35748 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.710,24.300
2022-09-09 16:07:17,"4.35748 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.589,103.000
2022-09-09 16:07:16,"4.35748 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.382,86.200
2022-09-09 16:07:15,"4.35748 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.750,103.000
2022-09-09 16:07:14,"4.32705 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.578,25.000
2022-09-09 16:07:13,"4.32705 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.656,16.700
2022-09-09 16:07:12,"4.32705 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.563,16.700
2022-09-09 16:07:11,"4.32705 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.400,52.900
2022-09-09 16:07:10,"4.32705 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.712,16.800
2022-09-09 16:07:09,"4.32705 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.584,16.600
2022-09-09 16:07:25,"4.48094 
",136156,414,0,UDP,53910,3478,VOIP,3,0,0.722,69.000
2022-09-09 16:07:08,"4.32705 
",136169,732,348,UDP,53910,3478,VOIP,4,2,0.923,76.300
2022-09-09 16:07:07,"4.32705 
",136169,732,348,UDP,53910,3478,VOIP,4,2,0.750,59.500
2022-09-09 16:07:06,"4.32705 
",136169,732,348,UDP,53910,3478,VOIP,4,2,0.582,16.400
2022-09-09 16:07:06,"4.32705 
",136169,732,348,UDP,53910,3478,VOIP,4,2,0.582,16.400
2022-09-09 16:07:06,"4.32705 
",136169,732,348,UDP,53910,3478,VOIP,4,2,0.582,16.400
2022-09-09 16:07:06,"4.32705 
",136169,732,348,UDP,53910,3478,VOIP,4,2,0.582,16.400
2022-09-09 16:07:05,"4.32705 
",136169,732,348,UDP,53910,3478,VOIP,4,2,0.689,68.200
2022-09-09 16:07:49,"4.42501 
",136169,732,348,UDP,53910,3478,VOIP,4,2,0.631,40.900
